District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"4,000.00","4,600.00","4,300.00",Rs./Quintal,27-12-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"4,300.00","4,600.00","4,450.00",Rs./Quintal,15-12-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Non-FAQ,"4,100.00","4,600.00","4,350.00",Rs./Quintal,12-12-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"4,200.00","4,500.00","4,350.00",Rs./Quintal,28-11-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Non-FAQ,"4,000.00","4,550.00","4,275.00",Rs./Quintal,18-11-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"4,000.00","4,500.00","4,250.00",Rs./Quintal,17-11-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,700.00","4,300.00","4,000.00",Rs./Quintal,30-10-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,500.00","4,200.00","3,850.00",Rs./Quintal,27-10-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,800.00","4,050.00","3,925.00",Rs./Quintal,16-10-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,500.00","4,050.00","3,775.00",Rs./Quintal,15-10-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,600.00","4,100.00","3,850.00",Rs./Quintal,13-10-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,500.00","4,100.00","3,800.00",Rs./Quintal,08-10-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,700.00","4,250.00","3,975.00",Rs./Quintal,03-10-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"3,500.00","4,200.00","3,850.00",Rs./Quintal,29-09-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"4,200.00","4,400.00","4,300.00",Rs./Quintal,27-09-2025
Ahmednagar,Ahmednagar APMC,Oil Seeds,Soyabean,Other,Local,"4,000.00","4,100.00","4,050.00",Rs./Quintal,26-09-2025
